,X,Y,GDD_2P67,inside_pol,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
13,655141.0,5899986.68453892,10.06,0.0,0,14,13,12,12,12,12,12,12,12,11,11,12,12,11,10,8,8,8,8,8,7,6,7,8,9,9,8,7,8,9,10,11,11,11,11,12,12,11,10,9,9,10,11,11,11,10,9,9,9,8,6,3,1,1,4,8,10,11,10,10,9,10,10,10,10,10,11,10,8,6,6,8,11,14,15,15,14,13,12,13,15,17,18,17,16,15,14,13,13,13,13,13,11,10,8,6,5,4,3,2
14,653914.5,5900001.1845389195,9.54,0.0,0,6,3,1,1,4,8,10,11,10,10,9,10,10,10,10,10,11,10,8,6,6,8,11,14,15,15,14,13,12,13,15,17,18,17,16,15,14,13,13,13,13,13,11,10,8,6,5,4,3,2,1,-1,-1,-1,1,4,6,7,8,9,11,12,13,12,10,8,6,3,1,-1,-1,8,8,8,8,9,9,8,7,7,6,6,7,9,12,15,18,20,21,21,20,18,16,13,12,11,12,12,11,10
15,649989.5,5900026.1845389195,9.09,0.0,0,1,-1,-1,-1,1,4,6,7,8,9,11,12,13,12,10,8,6,3,1,-1,-1,8,8,8,8,9,9,8,7,7,6,6,7,9,12,15,18,20,21,21,20,18,16,13,12,11,12,12,11,10,9,8,6,5,3,3,3,4,4,4,5,6,8,10,13,16,17,17,15,11,7,4,3,2,1,1,2,6,9,13,14,15,13,11,9,8,8,8,8,8,7,7,8,11,14,17,20,21,20,18
16,649791.0,5900036.68453892,10.91,0.0,0,9,8,6,5,3,3,3,4,4,4,5,6,8,10,13,16,17,17,15,11,7,4,3,2,1,1,2,6,9,13,14,15,13,11,9,8,8,8,8,8,7,7,8,11,14,17,20,21,20,18,16,14,14,14,16,18,20,22,23,22,21,19,18,18,17,16,15,14,15,15,15,15,13,12,10,8,7,7,7,7,7,7,7,6,5,4,5,7,11,14,16,16,15,14,13,11,10,7,5,3
17,652291.0,5900036.68453892,11.56,0.0,0,16,14,14,14,16,18,20,22,23,22,21,19,18,18,17,16,15,14,15,15,15,15,13,12,10,8,7,7,7,7,7,7,7,6,5,4,5,7,11,14,16,16,15,14,13,11,10,7,5,3,3,4,7,10,13,15,15,14,13,12,12,12,13,14,14,13,13,13,14,14,13,11,9,7,7,8,8,8,7,7,7,8,9,9,9,9,10,11,12,12,13,14,14,13,11,8,7,8,9,9
18,654791.0,5900036.68453892,10.24,0.0,0,3,4,7,10,13,15,15,14,13,12,12,12,13,14,14,13,13,13,14,14,13,11,9,7,7,8,8,8,7,7,7,8,9,9,9,9,10,11,12,12,13,14,14,13,11,8,7,8,9,9,9,9,8,8,8,7,6,3,0,-2,-2,1,5,9,10,10,9,8,8,7,7,7,8,9,9,9,9,9,10,11,12,13,13,13,13,14,16,18,20,21,19,17,15,14,13,13,13,13,11,9
19,654464.0,5900047.6845389195,9.37,0.0,0,9,9,8,8,8,7,6,3,0,-2,-2,1,5,9,10,10,9,8,8,7,7,7,8,9,9,9,9,9,10,11,12,13,13,13,13,14,16,18,20,21,19,17,15,14,13,13,13,13,11,9,7,5,4,3,4,5,5,3,1,0,1,3,6,8,9,9,9,9,10,11,12,11,9,6,4,1,-1,-1,10,10,9,9,9,8,7,6,6,6,8,10,12,15,17,20,21,22,22,21,20,17
20,650539.0,5900072.6845389195,8.42,0.0,0,7,5,4,3,4,5,5,3,1,0,1,3,6,8,9,9,9,9,10,11,12,11,9,6,4,1,-1,-1,10,10,9,9,9,8,7,6,6,6,8,10,12,15,17,20,21,22,22,21,20,17,13,11,10,11,11,10,9,7,5,3,2,1,2,3,4,4,4,4,4,6,10,14,17,19,18,16,12,8,5,3,2,1,1,2,5,9,12,14,14,13,11,9,8,8,8,8,8,8,8,9
21,649441.0,5900086.68453892,10.67,0.0,0,13,11,10,11,11,10,9,7,5,3,2,1,2,3,4,4,4,4,4,6,10,14,17,19,18,16,12,8,5,3,2,1,1,2,5,9,12,14,14,13,11,9,8,8,8,8,8,8,8,9,11,14,18,20,22,22,19,16,14,12,12,13,15,18,20,21,20,19,17,16,16,15,14,13,13,14,15,16,16,15,13,10,8,6,5,5,6,6,7,8,7,6,5,5,7,10,14,16,17,16
22,651941.0,5900086.68453892,11.99,0.0,0,11,14,18,20,22,22,19,16,14,12,12,13,15,18,20,21,20,19,17,16,16,15,14,13,13,14,15,16,16,15,13,10,8,6,5,5,6,6,7,8,7,6,5,5,7,10,14,16,17,16,15,13,11,8,5,2,0,-1,1,4,8,13,15,15,14,12,11,12,13,14,15,14,14,13,14,15,16,15,12,9,8,8,8,9,9,8,7,7,8,10,11,12,12,12,12,13,14,15,16,15
